any,cif,nom,quantia,tipus_subvencio
2023,G46171815,46023766,18949.24,A_escoles_no_formals
2023,G53443024,03015440,40256.98,A_escoles_no_formals
2023,G53045134,03017540,30948.56,A_escoles_no_formals
2023,G03243771,03013960,20934.31,A_escoles_no_formals
2023,G96399704,46019970,42669.52,A_escoles_no_formals
2023,G12385340,12008341,36735.53,A_escoles_no_formals
2023,G12894317,12005696,20518.08,A_escoles_no_formals
2023,R4600418J,12007929,20892.32,A_escoles_no_formals
2023,G96902705,46021046,21439.05,A_escoles_no_formals
2023,V96915566,46023778,24377.03,A_escoles_no_formals
2023,G46351367,46025301,20492.56,A_escoles_no_formals
2023,G96495643,46021496,40381.11,A_escoles_no_formals
2023,G12384905,12005702,10145.59,A_escoles_no_formals
2023,G03111986,03015701,37492.51,A_escoles_no_formals
2023,V96473111,46021502,7066.07,A_escoles_no_formals
2023,G12225595,12006019,10477.37,A_escoles_no_formals
2023,G46174389,46036098,15250.5,A_escoles_no_formals
2023,G96518089,46021587,65283.57,A_escoles_no_formals
2023,G46150843,46035495,37304.12,A_escoles_no_formals
2023,G46168001,46036566,11921.58,A_escoles_no_formals
2023,G12626933,12006226,5940.0,A_escoles_no_formals
2023,G03188679,03013996,24005.44,A_escoles_no_formals
2023,G03101649,03014307,16287.47,A_escoles_no_formals
2023,G98573967,46021289,30597.38,A_escoles_no_formals
2023,G96364336,46020923,9105.13,A_escoles_no_formals
2023,G46150793,46034508,58227.36,A_escoles_no_formals
2023,G46339180,46026226,16569.74,A_escoles_no_formals
2023,G53411120,03015403,6738.74,A_escoles_no_formals
2023,G03999760,03013844,54250.34,A_escoles_no_formals
2023,G03100625,03015713,10125.37,A_escoles_no_formals
2023,G97369425,46026861,13385.27,A_escoles_no_formals
2023,G46558409,46026871,49574.82,A_escoles_no_formals
2023,G98763964,46036116,60107.75,A_escoles_no_formals
2023,G96581376,46021514,25914.95,A_escoles_no_formals
2023,G97031173,46024621,16558.89,A_escoles_no_formals
2023,G96492111,46021526,24677.59,A_escoles_no_formals
2023,G54442165,03018891,16952.51,A_escoles_no_formals
2023,G46173886,46035203,74059.07,A_escoles_no_formals
2023,G03156130,03016055,16156.72,A_escoles_no_formals
2023,G96409958,46020790,22257.66,A_escoles_no_formals
2023,G97028781,46024631,15884.96,A_escoles_no_formals
2023,G96701628,46026883,30717.65,A_escoles_no_formals
2023,G46172664,46022762,34540.56,A_escoles_no_formals
