any,nom,cif,quantia,tipus_subvencio
2024,NEUS LES FONDÓ MUSICAL UNIÓN NIEVES LAS HONDON UNION,G03156130,16206.45,A_escoles_no_formals
2024,"FIGUERA, FONT FONTINA LIRA",G97028781,17375.3,A_escoles_no_formals
2024,"CARROS, D'EN FONT CARRÒS CARROS",G96409958,20310.14,A_escoles_no_formals
2024,GANDIA GRAU MARITIM DISTRICTE ASSOCIACIO,G96343223,45892.1,A_escoles_no_formals
2024,GANDIA BENIOPA MUSICAL CENTRE,G96701628,22600.97,A_escoles_no_formals
2024,GANDIA BORJA FRANCISCO SAN MUSICAL ARTISTICO UNIO,G46172664,38654.55,A_escoles_no_formals
2024,GANDIA CALASSANÇ,R4600413A,14992.58,A_escoles_no_formals
2024,GORGOS GATA CODA MUSICAL ASSOCIACIO,G42607853,22622.63,A_escoles_no_formals
2024,GAVARDA MUSICAL UNIÓN UNIO,G46555561,8136.51,A_escoles_no_formals
2024,GILET MELCHOR RICARDO MUSICAL JUVENTUD,G46396990,13915.44,A_escoles_no_formals
2024,GODELLA MUSICAL CENTRO CASINO,G46132544,66505.73,A_escoles_no_formals
2024,GODELLETA MUSICAL UNIÓN UNION,G96227194,28914.34,A_escoles_no_formals
2024,ROCAMORA GRANJA MUSICAL UNIÓN NUEVA SOCIETAT UNION SOCIEDAD,G03178431,16126.98,A_escoles_no_formals
2024,GUADASEQUIES AMICS,G96311667,12405.88,A_escoles_no_formals
2024,GUADASSUAR CECILIA SANTA MUSICAL UNIÓN SOC. UNION SOCIEDAD,G46187498,30556.98,A_escoles_no_formals
2024,SEGURA DEL GUARDAMAR MUSICAL AGRUPACIÓN AGRUPACION,G03112083,34361.69,A_escoles_no_formals
2024,HIGUERUELAS ALLEGRETTO MUSICAL UNION,G46205621,10671.69,A_escoles_no_formals
2024,IBI VERMELL CASTELL TALLER D'IBI,G53152864,23485.36,A_escoles_no_formals
2024,IBI L'ALACANTÍ-ALCOIÀ L'ALACANTI-ALCOIA,G53809687,14413.83,A_escoles_no_formals
2024,JARAFUEL VALLE COMARCAL CULTURAL ASOCIACIÓN,G40522013,40425.99,A_escoles_no_formals
2024,RANES LLANERA DIDÁCTICA MUSICAL UNIO,G46186201,12099.0,A_escoles_no_formals
2024,LLIRIA PRIMITIVA BANDA ENSEÑANZA MUSICAL ATENEO,G46057659,44359.01,A_escoles_no_formals
2024,LLOMBAI LAHOZ CARDONA JOSÉ MUSICAL PROTECTORA UNIO SOCIETAT,G46172656,16818.84,A_escoles_no_formals
2024,(LA) RANES LLOSA ESPARZA MIGUEL MUSICAL SOCIETAT,G46345054,22545.46,A_escoles_no_formals
2024,OBISPO DEL LOSA SERRANÍA PUERTA SERRANIA,G96996277,7969.43,A_escoles_no_formals
2024,MACASTRE CECILIA SANTA MUSICAL SOCIEDAD,G46172763,20102.56,A_escoles_no_formals
2024,MANISES MANISENSE ARTÍSTICA ARTISTICA MUSICAL SOCIEDAD,G46155404,52732.88,A_escoles_no_formals
2024,MANISES ATENEU CIUTAT CULTURAL,G98074578,63807.85,A_escoles_no_formals
2024,MANUEL MUSICAL AGRUPACIÓN AGRUPACION,G46354767,7985.06,A_escoles_no_formals
2024,MARINES MARINENSE MUSICALES C.ESTUDIOS MUSICAL SOCIEDAD,G46088613,15081.49,A_escoles_no_formals
2024,MASSALFASSAR MUSICAL SOCIETAT,G96916382,26967.02,A_escoles_no_formals
2024,MASSANASSA MUSICALES ESTUDIOS CENTRO,G96912720,30638.61,A_escoles_no_formals
2024,MELIANA AMIGOS ASOC,G46175113,35426.69,A_escoles_no_formals
2024,MELIANA KODALY,G96646625,7405.03,A_escoles_no_formals
2024,MIRAMAR MILAMARINA MUSICAL UNIÓ UNIO,G46646576,19165.54,A_escoles_no_formals
2024,MISLATA PICCOLO MUSICAL UNION,G97289672,99466.01,A_escoles_no_formals
2024,MISLATA MUSICAL INSTRUCTIVO CENTRO,G46172482,42090.4,A_escoles_no_formals
2024,MOIXENT BELDA FRANCISCO,G96318274,18260.11,A_escoles_no_formals
2024,MONCADA MUSICAL ARTÍSTICO CENTRO ARTISTICO,V46065298,89174.09,A_escoles_no_formals
2024,MONCADA MUSICAL UNIÓ UNION,G46172151,26959.12,A_escoles_no_formals
2024,MONCOFA SUM SOLFEJANT CECILIA SANTA MUSICAL UNION CULTURAL SOCIEDAD,G12033965,9095.99,A_escoles_no_formals
2024,CID DEL MONFORTE LIRA MUSICAL BANDA ASOCIACION,G03185881,18311.67,A_escoles_no_formals
2024,MONOVER,G53221701,20830.72,A_escoles_no_formals
2024,MONTAVERNER ARTÍSTICO-CULT.DE MONTA CULTURAL ARTISTICO BANDA,G97947725,36285.45,A_escoles_no_formals
2024,MONTROY UNIÓN UNIO,G96329081,17868.72,A_escoles_no_formals
2024,MONTROY ARMONÍA MUS. ENSEÑANZA CENTRO ARMONIA,G96366158,12332.96,A_escoles_no_formals
2024,MONTSERRAT MUSICAL UNIÓ INST. SOCIETAT UNIO INSTRUCTIVA,G96365994,14895.1,A_escoles_no_formals
2024,ALCOY MURO XAFIGÀ TRADICIONAL COMTAT DEL MUSICALS JOVENTUS,G53300935,17632.71,A_escoles_no_formals
2024,ALCOY MURO COMTAT DEL COMARCAL MUSICALS JOVENTUS,G53300935,79105.02,A_escoles_no_formals
2024,MUSEROS MUSICAL UNION SOCIEDAD,G46172714,28266.17,A_escoles_no_formals
2024,MUTXAMEL L'ALIANÇA MUSICAL SOCIETAT,G03228111,19906.36,A_escoles_no_formals
2024,NAQUERA CECILIA SANTA,G96357876,18761.95,A_escoles_no_formals
2024,NAVARRES MUSICAL FOMENTO,G46173142,14771.25,A_escoles_no_formals
2024,NOVELDA MAGDALENA STA. MUSICAL MARIA STA SOCIEDAD,G53277547,14741.01,A_escoles_no_formals
2024,NOVELDA ARTÍSTICA MUSICAL UNIÓN L'ARTISTICA UNION,G03156460,35416.24,A_escoles_no_formals
2024,"NUCIA, MUSICAL UNIÓN NUCIA UNION",G03130614,26253.8,A_escoles_no_formals
2024,NULES NULENSE EST.MUS.ARTÍSTICA CENTRO ARTISTICA MUSICAL ASSOCIACIO,G12036513,46416.47,A_escoles_no_formals
2024,OLIVA OLIVA-AAMO MUSICAL ARTISITICO ASOC,G96550264,57684.64,A_escoles_no_formals
2024,"OLLERIA, ESTARELLES PEDRO DIONISIO CULTURAL ASSOCIACIO",G98461502,39363.29,A_escoles_no_formals
2024,"OLLERIA, L'OLLERIA NOVA A.E.MUSICAL OLLERIA MUSICAL AGRUPACIO",G97377980,10885.05,A_escoles_no_formals
2024,OLOCAU MELODIA D'OLOCAU MUSICAL AGRUPACIO ASOC,G98295637,13539.44,A_escoles_no_formals
2024,ONDA NOTA CECILIA SANTA MUSICAL UNION,G12039145,45184.3,A_escoles_no_formals
2024,ONDA SAMVO D'ONDA VILA MUSICAL ARTISTIC SOCIETAT,G12914065,81731.03,A_escoles_no_formals
2024,ONDARA ORTOLÀ GONZALO D'ONDARA ORTOLA,G53391090,31148.9,A_escoles_no_formals
2024,ONIL CIMO,G54161427,54417.27,A_escoles_no_formals
2024,ONTINYENT MUSICAL ARTÍSTICA UNION D'ALBAIDA VALL MUSICALS JOVENTUTS,G96164579,9523.4,A_escoles_no_formals
2024,ONTINYENT LIBITUM,G96767595,99209.47,A_escoles_no_formals
2024,ORIHUELA BARTOLOMÉ SAN MUSICAL UNIÓN BARTOLOME UNION,G03726627,12896.94,A_escoles_no_formals
2024,ORIHUELA ACAMDO CULT ASOC,G54800230,26145.95,A_escoles_no_formals
2024,ORIHUELA ROGEL MARIANO ORCELITANA LIRICA UNION,G03144029,17760.74,A_escoles_no_formals
2024,ORPESA MUSICAL UNIÓN UNIO,G12301339,22546.58,A_escoles_no_formals
2024,"ORXA, TEMPO COMTAT TEMPO-EL CULTURAL ASSOCIACIO",G54963681,29387.0,A_escoles_no_formals
2024,OTOS D'ALBAIDA VALL MUSICALS JOVENTUTS,G96164579,108735.4,A_escoles_no_formals
2024,PAIPORTA PRIMITIVA BANDA,G46191292,44167.43,A_escoles_no_formals
2024,PAIPORTA PRATS VICENTE TARAZONA,G46598777,68769.82,A_escoles_no_formals
2024,GANDIA PALMA AMICS,G96892815,5325.7,A_escoles_no_formals
2024,PALMERA MUSICAL AGRUPACIÓ AGRUPACIO,G96499330,9234.06,A_escoles_no_formals
2024,(EL) PALOMAR DEL MUNICIPAL,G97947709,16709.65,A_escoles_no_formals
2024,PATERNA PATERNENSE MUSICAL CENTRO,V46065389,65098.97,A_escoles_no_formals
2024,PEGO MUSICAL AGRUPACIÓN AGRUPACION,G03188455,2680.92,A_escoles_no_formals
2024,PENÍSCOLA PEÑÍSCOLA CIUDAD ERMITANA VIRGEN BANDA ASOC,G12321113,40171.62,A_escoles_no_formals
2024,PETRER MUSICAL UNIÓN SOCIEDAD UNION,G03185014,37515.07,A_escoles_no_formals
